iter	Passed	Remaining
400	21478	32084
401	21516	32007
402	21551	31925
403	21586	31845
404	21621	31764
405	21657	31685
406	21697	31613
407	21730	31531
408	21769	31456
409	21802	31374
410	21836	31293
411	21870	31212
412	21906	31135
413	21938	31053
414	21975	30977
415	22011	30900
416	22045	30821
417	22081	30744
418	22114	30664
419	22152	30591
420	22188	30515
421	22222	30437
422	22255	30357
423	22291	30282
424	22326	30206
425	22362	30131
426	22398	30057
427	22434	29983
428	22471	29910
429	22506	29834
430	22542	29759
431	22576	29683
432	22613	29611
433	22652	29542
434	22701	29486
435	22741	29418
436	22781	29350
437	22831	29295
438	22881	29240
439	22928	29181
440	22968	29113
441	23015	29055
442	23053	28985
443	23098	28924
444	23133	28851
445	23169	28780
446	23204	28707
447	23240	28635
448	23274	28562
449	23308	28488
450	23348	28421
451	23384	28351
452	23420	28280
453	23455	28208
454	23490	28137
455	23524	28063
456	23558	27991
457	23592	27919
458	23628	27850
459	23668	27785
460	23706	27717
461	23738	27644
462	23773	27573
463	23810	27505
464	23844	27434
465	23883	27368
466	23917	27297
467	23952	27228
468	23986	27157
469	24022	27088
470	24057	27020
471	24095	26954
472	24132	26887
473	24168	26820
474	24208	26756
475	24245	26689
476	24281	26623
477	24315	26553
478	24351	26486
479	24385	26417
480	24421	26350
481	24459	26286
482	24493	26217
483	24527	26149
484	24560	26079
485	24597	26014
486	24630	25945
487	24669	25882
488	24704	25816
489	24741	25751
490	24775	25683
491	24808	25615
492	24842	25547
493	24877	25482
494	24910	25414
495	24948	25351
496	24983	25284
497	25019	25220
498	25054	25154
499	25090	25090
500	25126	25026
501	25163	24962
502	25197	24896
503	25229	24828
504	25264	24764
505	25301	24701
506	25335	24636
507	25369	24570
508	25407	24508
509	25444	24446
510	25478	24381
511	25513	24317
512	25546	24251
513	25583	24189
514	25617	24124
515	25653	24062
516	25687	23998
517	25724	23937
518	25758	23872
519	25794	23810
520	25828	23746
521	25863	23683
522	25897	23620
523	25933	23557
524	25968	23495
525	26006	23435
526	26042	23373
527	26077	23311
528	26112	23249
529	26148	23188
530	26184	23127
531	26222	23067
532	26256	23005
533	26293	22945
534	26326	22882
535	26363	22821
536	26396	22758
537	26434	22699
538	26469	22638
539	26503	22577
540	26538	22515
541	26571	22453
542	26608	22393
543	26643	22333
544	26681	22275
545	26717	22215
546	26754	22156
547	26786	22094
548	26930	22123
549	26973	22069
550	27133	22110
551	27172	22053
552	27208	21993
553	27250	21938
554	27320	21905
555	27358	21847
556	27398	21790
557	27432	21729
558	27467	21669
559	27501	21608
560	27536	21548
561	27569	21486
562	27602	21424
563	27635	21363
564	27669	21303
565	27703	21242
566	27736	21181
567	27770	21121
568	27805	21061
569	27840	21002
570	27874	20942
571	27910	20883
572	27948	20826
573	27981	20766
574	28015	20707
575	28050	20647
576	28083	20587
577	28119	20529
578	28153	20470
579	28186	20411
580	28221	20352
581	28255	20293
582	28289	20234
583	28326	20178
584	28372	20127
585	28409	20070
586	28442	20011
587	28476	19952
588	28510	19894
589	28554	19843
590	28592	19787
591	28628	19730
592	28662	19672
593	28696	19614
594	28730	19555
595	28766	19499
596	28800	19441
597	28833	19383
598	28868	19325
599	28902	19268
600	28939	19212
601	28974	19156
602	29009	19099
603	29042	19041
604	29077	18984
605	29111	18927
606	29145	18870
607	29183	18815
608	29220	18760
609	29255	18704
610	29289	18647
611	29326	18592
612	29361	18536
613	29393	18478
614	29427	18421
615	29462	18366
616	29496	18309
617	29530	18253
618	29566	18198
619	29602	18143
620	29637	18088
621	29671	18031
622	29705	17975
623	29739	17920
624	29774	17864
625	29808	17808
626	29844	17754
627	29881	17700
628	29917	17646
629	29953	17591
630	29989	17537
631	30023	17481
632	30057	17426
633	30091	17371
634	30126	17316
635	30160	17261
636	30194	17206
637	30227	17150
638	30260	17095
639	30293	17040
640	30328	16985
641	30361	16930
642	30396	16876
643	30430	16821
644	30465	16767
645	30503	16715
646	30536	16660
647	30570	16606
648	30604	16552
649	30639	16498
650	30673	16444
651	30707	16390
652	30742	16336
653	30776	16282
654	30812	16229
655	30845	16175
656	30880	16121
657	30913	16067
658	30947	16013
659	30979	15959
660	31012	15905
661	31047	15852
662	31080	15798
663	31114	15744
664	31147	15690
665	31181	15637
666	31218	15586
667	31252	15532
668	31286	15479
669	31319	15425
670	31353	15372
671	31391	15322
672	31430	15271
673	31467	15220
674	31504	15169
675	31541	15117
676	31578	15066
677	31617	15015
678	31653	14964
679	31690	14913
680	31730	14863
681	31770	14813
682	31809	14763
683	31844	14711
684	31880	14660
685	31913	14607
686	31949	14556
687	31988	14506
688	32023	14454
689	32057	14402
690	32090	14350
691	32126	14299
692	32164	14249
693	32204	14199
694	32240	14148
695	32276	14097
696	32318	14049
697	32354	13998
698	32388	13947
699	32422	13895
700	32456	13843
701	32491	13792
702	32525	13741
703	32562	13691
704	32601	13641
705	32639	13592
706	32675	13541
707	32716	13493
708	32753	13443
709	32792	13394
710	32828	13343
711	32863	13293
712	32904	13244
713	32941	13194
714	32972	13142
715	33003	13090
716	33037	13039
717	33071	12989
718	33101	12936
719	33133	12885
720	33165	12833
721	33199	12783
722	33232	12732
723	33266	12681
724	33302	12631
725	33338	12582
726	33375	12533
727	33413	12484
728	33455	12436
729	33494	12388
730	33531	12339
731	33571	12291
732	33612	12243
733	33657	12197
734	33696	12149
735	33731	12099
736	33765	12049
737	33800	11999
738	33838	11951
739	33872	11901
740	33911	11853
741	33948	11804
742	33983	11754
743	34021	11706
744	34055	11656
745	34092	11607
746	34131	11559
747	34168	11511
748	34205	11462
749	34261	11420
750	34297	11371
751	34333	11322
752	34370	11274
753	34409	11226
754	34455	11181
755	34495	11133
756	34535	11086
757	34573	11037
758	34610	10989
759	34645	10940
760	34679	10891
761	34718	10843
762	34754	10795
763	34790	10746
764	34830	10699
765	34866	10651
766	34900	10602
767	34938	10554
768	34975	10506
769	35009	10457
770	35044	10408
771	35085	10361
772	35118	10312
773	35152	10264
774	35188	10215
775	35221	10167
776	35255	10118
777	35290	10069
778	35326	10022
779	35359	9973
780	35395	9925
781	35431	9877
782	35466	9829
783	35502	9781
784	35536	9732
785	35572	9685
786	35607	9637
787	35643	9589
788	35678	9541
789	35712	9493
790	35746	9444
791	35780	9396
792	35818	9349
793	35852	9301
794	35886	9253
795	35929	9207
796	35967	9161
797	36003	9113
798	36037	9065
799	36077	9019
800	36112	8971
801	36146	8924
802	36185	8877
803	36219	8829
804	36254	8782
805	36294	8735
806	36329	8688
807	36367	8641
808	36407	8595
809	36469	8554
810	36513	8509
811	36549	8462
812	36592	8416
813	36649	8374
814	36687	8327
815	36728	8282
816	36789	8240
817	36834	8195
818	36875	8149
819	36916	8103
820	36958	8057
821	36998	8011
822	37050	7968
823	37091	7922
824	37143	7878
825	37182	7832
826	37219	7785
827	37253	7738
828	37289	7691
829	37323	7644
830	37362	7598
831	37397	7551
832	37433	7504
833	37471	7458
834	37509	7412
835	37551	7366
836	37587	7319
837	37623	7273
838	37667	7228
839	37717	7184
840	37786	7143
841	37828	7098
842	37864	7051
843	37905	7006
844	37942	6959
845	37980	6913
846	38016	6867
847	38050	6820
848	38087	6774
849	38124	6727
850	38167	6682
851	38204	6636
852	38239	6590
853	38276	6543
854	38311	6497
855	38345	6450
856	38387	6405
857	38422	6358
858	38456	6312
859	38493	6266
860	38527	6219
861	38562	6173
862	38603	6128
863	38642	6082
864	38689	6038
865	38727	5992
866	38767	5946
867	38803	5901
868	38839	5855
869	38874	5808
870	38908	5762
871	38941	5716
872	38975	5669
873	39008	5623
874	39043	5577
875	39078	5531
876	39111	5485
877	39146	5439
878	39181	5393
879	39214	5347
880	39248	5301
881	39284	5255
882	39318	5209
883	39355	5164
884	39388	5118
885	39425	5072
886	39462	5027
887	39494	4981
888	39531	4935
889	39567	4890
890	39606	4845
891	39643	4799
892	39682	4754
893	39715	4709
894	39753	4663
895	39788	4618
896	39832	4573
897	39875	4529
898	39914	4484
899	39955	4439
900	40003	4395
901	40038	4350
902	40076	4305
903	40113	4259
904	40155	4215
905	40195	4170
906	40230	4125
907	40269	4080
908	40304	4034
909	40342	3989
910	40377	3944
911	40413	3899
912	40455	3854
913	40489	3809
914	40527	3764
915	40561	3719
916	40606	3675
917	40649	3631
918	40681	3585
919	40718	3540
920	40753	3495
921	40790	3450
922	40828	3406
923	40864	3361
924	40902	3316
925	40934	3271
926	40969	3226
927	41004	3181
928	41038	3136
929	41074	3091
930	41107	3046
931	41144	3001
932	41179	2957
933	41215	2912
934	41249	2867
935	41286	2823
936	41320	2778
937	41355	2733
938	41391	2688
939	41427	2644
940	41469	2600
941	41517	2556
942	41552	2511
943	41589	2467
944	41629	2422
945	41665	2378
946	41702	2333
947	41738	2289
948	41778	2245
949	41820	2201
950	41860	2156
951	41897	2112
952	41933	2068
953	41972	2023
954	42017	1979
955	42060	1935
956	42109	1892
957	42146	1847
958	42183	1803
959	42217	1759
960	42258	1714
961	42294	1670
962	42330	1626
963	42367	1582
964	42405	1538
965	42442	1493
966	42480	1449
967	42516	1405
968	42557	1361
969	42596	1317
970	42634	1273
971	42678	1229
972	42720	1185
973	42766	1141
974	42801	1097
975	42838	1053
976	42876	1009
977	42911	965
978	42950	921
979	42983	877
980	43021	833
981	43062	789
982	43100	745
983	43138	701
984	43174	657
985	43214	613
986	43249	569
987	43286	525
988	43322	481
989	43363	438
990	43398	394
991	43440	350
992	43475	306
993	43511	262
994	43546	218
995	43581	175
996	43621	131
997	43659	87
998	43693	43
999	43728	0
