iter	MultiClass
189	0.9714171897
190	0.9695784365
191	0.9671292297
192	0.965738378
193	0.9647275287
194	0.9636904618
195	0.9621653868
196	0.9604796246
197	0.9587987183
198	0.9576855455
199	0.955906155
200	0.9543235478
201	0.9526865367
202	0.9504765796
203	0.9496925295
204	0.948667893
205	0.9472439501
206	0.9462428091
207	0.9450321959
208	0.9438004918
209	0.9429593944
210	0.9414115274
211	0.9398273434
212	0.9386289688
213	0.9366194245
214	0.9354009605
215	0.9330082143
216	0.9318550369
217	0.9307331713
218	0.9296795663
219	0.9282152677
220	0.9276476683
221	0.9270871329
222	0.9266220687
223	0.9248516404
224	0.9240039002
225	0.9233629038
226	0.9222575464
227	0.9201527498
228	0.9183296502
229	0.915790085
230	0.9153309038
231	0.9137175798
232	0.9121276144
233	0.9112284897
234	0.9099978415
235	0.9087307481
236	0.9076269998
237	0.9061028038
238	0.9040985796
239	0.9027532994
240	0.9020675696
241	0.9004476417
242	0.8992770623
243	0.8983941946
244	0.8979497618
245	0.8960058813
246	0.8951297707
247	0.8939460677
248	0.8930149955
249	0.8921830163
250	0.8911275926
251	0.8893127346
252	0.8877782769
253	0.8869782393
254	0.8862465252
255	0.8850459366
256	0.8832192212
257	0.8816969406
258	0.8808753353
259	0.8796297581
260	0.8782635426
261	0.8771881066
262	0.8765306616
263	0.8756403229
264	0.8750282339
265	0.8727535745
266	0.8719465658
267	0.8708048089
268	0.8700157535
269	0.8691552324
270	0.8685549923
271	0.8673829335
272	0.8663634058
273	0.8649116393
274	0.8633754118
275	0.8614304459
276	0.8605932675
277	0.8593080692
278	0.8580945546
279	0.8561757229
280	0.8557026304
281	0.8548226884
282	0.8537498759
283	0.852898245
284	0.8517300862
285	0.8505498125
286	0.8496071083
287	0.8491097581
288	0.8485498112
289	0.8474688611
290	0.8464062339
291	0.8456086281
292	0.843601154
293	0.8418624654
294	0.840977795
295	0.8399557677
296	0.8386093132
297	0.8379645135
298	0.8366779511
299	0.8349307191
300	0.833645653
301	0.8324337843
302	0.8301584418
303	0.8292674194
304	0.8274738509
305	0.8264846202
306	0.8251732846
307	0.8234543026
308	0.8225008205
309	0.8215006458
310	0.8208791558
311	0.8202669043
312	0.8196236905
313	0.8187020631
314	0.8177090499
315	0.8167548729
316	0.8155591169
317	0.8149135845
318	0.8146316975
319	0.8140736203
320	0.81287337
321	0.8114701511
322	0.8105836372
323	0.8100670563
324	0.8091990921
325	0.8076810191
326	0.8072524912
327	0.8068863519
328	0.8058358738
329	0.8046962455
330	0.8038710373
331	0.803105602
332	0.8022679597
333	0.8012309854
334	0.7997373536
335	0.7989445849
336	0.7979722721
337	0.7958693123
338	0.7950464943
339	0.7938830891
340	0.793262443
341	0.7918399172
342	0.7906277884
343	0.7897468623
344	0.7888420136
345	0.7879141632
346	0.7868859863
347	0.7865217924
348	0.7854111427
349	0.7843433996
350	0.7827668184
351	0.7812528588
352	0.780479178
353	0.779322031
354	0.7786634294
355	0.7782432816
356	0.7777080722
357	0.7768848973
358	0.7761981945
359	0.7752540149
360	0.7739063961
361	0.7733166124
362	0.7724971717
363	0.7716604077
364	0.7708744636
365	0.7701572048
366	0.7686792342
367	0.7676525666
368	0.767281563
369	0.7666841447
370	0.7655048292
371	0.764509499
372	0.7633315727
373	0.762249649
374	0.761692905
375	0.7608221468
376	0.7595531937
377	0.7587259936
378	0.7576468375
379	0.7564472203
380	0.7554554326
381	0.7544761259
382	0.7537781685
383	0.7518432888
384	0.7514034666
385	0.7504414506
386	0.7496695473
387	0.7489608578
388	0.7483816109
389	0.7477205781
390	0.7470445909
391	0.7461832483
392	0.7457099751
393	0.7446844907
394	0.7435347633
395	0.7423089961
396	0.7413954274
397	0.7410434243
398	0.7389560545
399	0.737599705
400	0.7366321523
401	0.7345447357
402	0.7337381543
403	0.732635871
404	0.7315974903
405	0.7308335583
406	0.7296356828
407	0.7285692361
408	0.7278254671
409	0.7274996682
410	0.7262343164
411	0.7251377499
412	0.7242156728
413	0.7236027104
414	0.7231212723
415	0.7226875067
416	0.7205840849
417	0.7196774328
418	0.7186581975
419	0.7177019881
420	0.7167837778
421	0.7159773821
422	0.7154381686
423	0.7144789493
424	0.7132319315
425	0.7116366228
426	0.7108197344
427	0.7088268581
428	0.7081713902
429	0.7072503822
430	0.7062827963
431	0.705346385
432	0.7042644425
433	0.7037190312
434	0.7024196303
435	0.7018760265
436	0.7003105318
437	0.6992710824
438	0.6984943636
439	0.6973011247
440	0.6964513382
441	0.6954513946
442	0.6943839123
443	0.6933783395
444	0.6922808069
445	0.6913564177
446	0.6907804539
447	0.6898673272
448	0.688429407
449	0.6876964734
450	0.6862643267
451	0.6847300799
452	0.684350077
453	0.6832077122
454	0.6825118118
455	0.6821066617
456	0.6808483901
457	0.6801376727
458	0.679543283
459	0.6791943185
460	0.6785831596
461	0.6774145398
462	0.6769623999
463	0.6760227235
464	0.6745551436
465	0.6737339252
466	0.6728904842
467	0.6721917147
468	0.6714111222
469	0.6702410163
470	0.669454593
471	0.6691690779
472	0.668475033
473	0.6671888443
474	0.6663683651
475	0.6656955476
476	0.66456819
477	0.6633076402
478	0.6623427717
479	0.6615162261
480	0.6606791234
481	0.6596726255
482	0.6587859859
483	0.6576176054
484	0.6568220018
485	0.6554766342
486	0.6550228235
487	0.6543097053
488	0.6537013418
489	0.6525925391
490	0.6517826559
491	0.6508705935
492	0.6500459604
493	0.6493196691
494	0.6491378431
495	0.647994108
496	0.6470957664
497	0.6462360399
498	0.6455765918
499	0.6452084533
500	0.6439695715
501	0.6434510735
502	0.6427071002
503	0.6421647661
504	0.641651923
505	0.6411773494
506	0.6408722286
507	0.6402591092
508	0.6397663934
509	0.639317123
510	0.6387782745
511	0.6381162992
512	0.6372128506
513	0.6365047089
514	0.6353981993
515	0.634528033
516	0.6338032103
517	0.6335056388
518	0.6330019721
519	0.6324067763
520	0.6319761097
521	0.6307944932
522	0.6299002795
523	0.6285863002
524	0.6281724276
525	0.6278210478
526	0.6274299583
527	0.6266520386
528	0.6260272786
529	0.6249940217
530	0.6244213007
531	0.6236421698
532	0.6227093035
533	0.6216324048
534	0.6207386747
535	0.6202879635
536	0.6196745137
537	0.6190620547
538	0.6180726933
539	0.6175177044
540	0.6168493749
541	0.6160827017
542	0.615138305
543	0.6146915588
544	0.6137320121
545	0.6125233705
546	0.6119423138
547	0.6112518545
548	0.6106275048
549	0.6100368839
550	0.609616033
551	0.6091882184
552	0.6085838324
553	0.6082595876
554	0.6075835716
555	0.606480231
556	0.6060169391
557	0.6047882776
558	0.6037739283
559	0.6031552878
560	0.6021418543
561	0.6010572752
562	0.6005883991
563	0.6002182826
564	0.5996927029
565	0.5987075589
566	0.5978368089
567	0.5972524962
568	0.596860626
569	0.5960788934
570	0.5953589264
571	0.5941986508
572	0.5936143458
573	0.5927217027
574	0.5922579916
575	0.5913110939
576	0.5904541545
577	0.5903197678
578	0.5898289711
579	0.5895514636
580	0.5887401262
581	0.5878166436
582	0.5870685851
583	0.5864980498
584	0.5857714486
585	0.5853001547
586	0.5845328624
587	0.5841733498
588	0.5834358191
589	0.5827412996
590	0.5821802397
591	0.5814863909
592	0.581265564
593	0.5803812013
594	0.5796807596
595	0.5789401116
596	0.578640412
597	0.5781729808
598	0.577961714
599	0.5772319596
600	0.5763865046
601	0.575875391
602	0.575285602
603	0.5743610229
604	0.57391479
605	0.5730690209
606	0.5717224896
607	0.5713069533
608	0.570212157
609	0.56941375
610	0.568530437
611	0.5676334703
612	0.5667592698
613	0.566144521
614	0.5660171531
615	0.5653708844
616	0.564885869
617	0.5644065573
618	0.5639761099
619	0.5632814288
620	0.5631194362
621	0.5625324283
622	0.5618028756
623	0.5609518109
624	0.5605024985
625	0.5596675673
626	0.5591929662
627	0.5584407138
628	0.5578783784
629	0.5569565544
630	0.5563889006
631	0.5557248278
632	0.5547661221
633	0.5542097455
634	0.5533935881
635	0.553194234
636	0.5524374446
637	0.5516778379
638	0.5506824335
639	0.5498049618
640	0.5490162605
641	0.5487688319
642	0.5480462023
643	0.5475063739
644	0.5471453422
645	0.5469429209
646	0.546589634
647	0.5459966663
648	0.5455125409
649	0.5452318233
650	0.5444349221
651	0.5438380738
652	0.5430856117
653	0.5428497154
654	0.5425037622
655	0.5415917648
656	0.541090067
657	0.5409162667
658	0.5406379428
659	0.5403688446
660	0.539861386
661	0.5389661977
662	0.538569516
663	0.5377929545
664	0.5374534057
665	0.536509061
666	0.5352164758
667	0.5347319192
668	0.5342932523
669	0.533862383
670	0.532836583
671	0.5321481946
672	0.5317900752
673	0.5311485951
674	0.5306803918
675	0.5301094007
676	0.529089534
677	0.5284015332
678	0.5278547654
679	0.5276845896
680	0.5266701189
681	0.526284473
682	0.5260878451
683	0.5249615561
684	0.5243019366
685	0.5237867415
686	0.5232858824
687	0.5223221016
688	0.5216372491
689	0.5211012512
690	0.5204029066
691	0.5197426813
692	0.5192067143
693	0.5186315073
694	0.5180079139
695	0.5171431368
696	0.5164780733
697	0.5159596606
698	0.5157665573
699	0.5154047718
700	0.5146227062
701	0.5140475124
702	0.5138263133
703	0.5133266428
704	0.5132292329
705	0.5126298781
706	0.511856279
707	0.5112655669
708	0.5109775555
709	0.5107438063
710	0.5104202931
711	0.5092167239
712	0.5087580336
713	0.5075675092
714	0.506237609
715	0.5060309851
716	0.505714718
717	0.5053881659
718	0.504879698
719	0.5042659979
720	0.5040124654
721	0.5032708173
722	0.5026197893
723	0.5019031763
724	0.5016251335
725	0.5010237166
726	0.5005712233
727	0.4999286582
728	0.4995889936
729	0.4985840161
730	0.498216347
731	0.4977408878
732	0.4970886677
733	0.4965723497
734	0.4963103931
735	0.4958298676
736	0.4949958049
737	0.4939028413
738	0.4935496896
739	0.4932309313
740	0.4927829202
741	0.4923826234
742	0.4920622649
743	0.4916917716
744	0.491451405
745	0.4908792171
746	0.4902782018
747	0.4899638497
748	0.4896263971
749	0.4894193054
750	0.4888496357
751	0.4881696475
752	0.4874491475
753	0.4865141649
754	0.4859895439
755	0.4854820535
756	0.4846459516
757	0.4842267236
758	0.4838488815
759	0.4829427336
760	0.4822424475
761	0.481772307
762	0.4816415528
763	0.4812833716
764	0.480749829
765	0.4800838727
766	0.4798559461
767	0.4796325775
768	0.4790321429
769	0.478683277
770	0.4782917783
771	0.477715174
772	0.4775277771
773	0.4768600811
774	0.4761344552
775	0.4760061648
776	0.4752761115
777	0.4746076127
778	0.4735116273
779	0.4724094752
780	0.472107789
781	0.4709985776
782	0.4707844972
783	0.4697554997
784	0.4692877573
785	0.4687541927
786	0.4680123052
787	0.4671988846
788	0.4665964996
789	0.4655972676
790	0.4648945704
791	0.4643964151
792	0.463525116
793	0.4631247632
794	0.462837216
795	0.4625190532
796	0.4618653831
797	0.4611727106
798	0.4605678173
799	0.4599159581
800	0.4591291955
801	0.4583871618
802	0.4580900663
803	0.4578833434
804	0.4577151516
805	0.4570360365
806	0.4565148983
807	0.4558180246
808	0.4555410548
809	0.4551138902
810	0.4545433338
811	0.4541571842
812	0.453637576
813	0.4534558313
814	0.4527454923
815	0.452505466
816	0.4519191344
817	0.4511021239
818	0.4507438295
819	0.4506053083
820	0.4501104305
821	0.4497986413
822	0.4494326165
823	0.4484518658
824	0.4481431964
825	0.4473780221
826	0.4470601033
827	0.4463532502
828	0.4455523589
829	0.4452286782
830	0.4446547582
831	0.4439578502
832	0.4434859439
833	0.4430394907
834	0.4426537583
835	0.4418204435
836	0.4415823645
837	0.4411283619
838	0.4407407302
839	0.4405197017
840	0.4396463674
841	0.4390091763
842	0.4385164784
843	0.438163595
844	0.4378422137
845	0.4376826766
846	0.4368849287
847	0.4361082114
848	0.4354418596
849	0.435001566
850	0.4345572336
851	0.4339335704
852	0.4330823288
853	0.4327338137
854	0.4321981671
855	0.431858171
856	0.4312298736
857	0.4307759381
858	0.4302305749
859	0.4297345647
860	0.4296270632
861	0.4292194083
862	0.4290414609
863	0.4286946215
864	0.4283706296
865	0.4279035057
866	0.4275726844
867	0.4268706067
868	0.4263749795
869	0.4259294616
870	0.4256946624
871	0.4253417743
872	0.4245837396
873	0.4242490464
874	0.4237043481
875	0.4234969997
876	0.4231052388
877	0.4229113836
878	0.4227552962
879	0.4220199115
880	0.4214024771
881	0.4212822933
882	0.4206934837
883	0.4203796459
884	0.4199299847
885	0.4193572879
886	0.4191500442
887	0.41882343
888	0.4185086052
889	0.4181539368
890	0.4176515974
891	0.4172810378
892	0.4168871719
893	0.4164171822
894	0.4162114146
895	0.4154711887
896	0.4147952191
897	0.4141817855
898	0.4138376605
899	0.4131953897
900	0.4126034709
901	0.4122817013
902	0.4120544008
903	0.4119251768
904	0.4113810713
905	0.4109665368
906	0.4105002589
907	0.4101906547
908	0.4090795837
909	0.4088459505
910	0.4083207331
911	0.4081805075
912	0.4071633555
913	0.4067668213
914	0.4059774584
915	0.4055941913
916	0.4053900113
917	0.4050798214
918	0.4046984176
919	0.4041078237
920	0.4037197637
921	0.4035518448
922	0.4029720646
923	0.4025682031
924	0.4021899335
925	0.4017241059
926	0.4012218049
927	0.400378468
928	0.4001571458
929	0.3999557001
930	0.3995287627
931	0.3992149143
932	0.3985498956
933	0.3980797094
934	0.3974761846
935	0.3969837004
936	0.396748439
937	0.3964260664
938	0.3956751589
939	0.3952925312
940	0.3949114917
941	0.3945529082
942	0.3938772122
943	0.3934620627
944	0.3929298811
945	0.392702942
946	0.3925038618
947	0.3919898089
948	0.3916884085
949	0.3912190249
950	0.3906980646
951	0.3903999549
952	0.3897164768
953	0.3895557918
954	0.3890569736
955	0.3888072613
956	0.3883691124
957	0.3876903647
958	0.3872998987
959	0.3869173534
960	0.3863678814
961	0.3859401534
962	0.3854511718
963	0.3851059293
964	0.3845264836
965	0.3843716461
966	0.3840552712
967	0.3836399428
968	0.3833683908
969	0.3828336778
970	0.3822311715
971	0.3815305092
972	0.3810574826
973	0.380790585
974	0.380244942
975	0.3797007823
976	0.3791623987
977	0.378786491
978	0.3782372631
979	0.3778081548
980	0.3772319523
981	0.3767332221
982	0.3763399758
983	0.376003536
984	0.3756262585
985	0.3752653234
986	0.3750734742
987	0.3750150879
988	0.3748739315
989	0.3746720393
990	0.3743018316
991	0.374082316
992	0.373793418
993	0.3734373523
994	0.3730345034
995	0.3726522806
996	0.3721227495
997	0.3714401659
998	0.3711640233
999	0.3706036408
