공장구분,설립구분,입주형태,보유구분,등록구분,남자종업원,여자종업원,외국인남자종업원,외국인여자종업원,종업원합계,공장규모,용도지역,지목,용지면적,제조시설면적,부대시설면적,건축면적,지식산업센터명,대표업종,구
1,4,5,1,1,32,10,0,0,42,1,52,0,16579,11094,1013,12107,6,238,39
1,4,5,1,1,141,7,0,0,148,2,52,0,37286,15729,9641,25370,6,240,39
1,4,5,1,1,142,8,0,0,150,2,52,0,37286,15729,9641,25370,6,240,39
1,4,5,1,1,142,8,0,0,150,2,52,0,37286,15729,9641,25370,6,240,39
1,4,5,1,1,48,6,0,0,54,2,52,0,15180,5627,3696,9324,6,241,39
1,4,2,0,1,8,1,0,0,9,1,52,0,33446,2487,1177,3664,6,217,20
1,4,5,1,1,8,2,0,0,10,1,52,0,0,0,0,0,6,480,39
1,4,5,1,1,163,10,0,0,173,2,52,0,87388,36070,6826,42896,6,209,39
1,4,4,1,1,1,0,0,0,1,1,52,0,6836,3749,744,4493,6,142,39
1,4,4,1,1,4,0,0,0,4,1,52,0,8178,2236,1033,3270,6,142,39
1,4,4,1,1,116,0,0,0,116,0,52,0,78673,44421,16479,60901,6,240,20
1,4,4,1,1,6,1,0,0,7,1,52,0,11229,2528,1040,3568,6,241,39
1,4,4,1,1,227,6,0,0,233,2,52,0,142238,29849,19403,49252,6,236,20
1,0,2,0,1,67,1,0,0,68,2,52,0,67495,19718,3927,23645,6,215,39
0,3,9,1,3,32,3,0,0,35,1,52,31,3066,478,490,968,6,393,195
1,0,4,1,1,37,6,0,0,43,1,45,0,27911,3742,3399,7142,6,137,39
1,0,2,0,4,12,1,0,0,13,1,45,0,1693,627,211,839,6,241,39
1,0,1,1,1,14,1,0,0,15,1,45,0,6261,3705,416,4121,6,241,39
1,0,4,1,1,23,3,0,0,26,1,45,0,15855,3600,631,4232,6,176,39
1,0,4,1,1,31,2,0,0,33,1,45,0,8327,1337,2856,4194,6,153,39
1,0,4,1,1,21,1,0,0,22,1,45,0,22505,7441,1029,8471,6,241,39
1,0,1,1,1,10,4,5,0,19,1,45,0,4014,1160,475,1636,6,164,39
1,4,3,1,1,81,9,0,0,90,2,52,0,121108,45468,6199,51668,6,257,195
1,0,4,1,1,12,8,0,0,20,1,45,0,10803,1200,3302,4502,6,233,195
1,0,5,1,1,24,3,0,0,27,1,45,0,9896,2495,1472,3967,6,234,39
1,0,5,1,4,23,0,0,0,23,1,45,0,69982,3508,3466,6975,6,240,39
1,4,5,1,4,23,0,0,0,23,1,45,0,69982,3508,3466,6975,6,240,39
1,0,5,1,1,1,0,0,0,1,1,44,0,8572,944,1912,2856,6,226,195
1,0,1,1,4,3,1,0,0,4,1,45,0,12061,514,92,607,6,226,195
1,0,1,1,1,29,3,0,0,32,1,45,0,38731,12716,3054,15770,6,149,39
1,4,4,1,1,425,8,0,0,433,0,52,0,207864,108608,8110,116719,6,238,39
1,4,4,1,1,143,11,0,0,154,2,52,0,109612,20447,4468,24915,6,241,195
1,4,4,1,1,143,4,0,0,147,2,52,0,109612,20447,4468,24915,6,236,195
1,0,2,0,4,5,0,0,0,5,1,45,0,1983,396,595,991,6,226,39
1,4,4,1,1,24,2,0,0,26,1,52,0,17004,1857,2520,4377,6,141,195
1,0,4,1,1,46,2,0,0,48,1,45,0,45896,20689,1515,22205,6,234,39
1,0,4,1,4,30,5,0,0,35,1,44,0,16194,6882,1376,8259,6,241,39
1,0,5,1,1,46,1,0,0,47,1,45,0,33004,14208,1852,16061,6,238,39
1,0,4,1,1,72,11,0,0,83,2,44,0,35476,9298,4235,13533,6,257,195
1,0,2,0,1,5,1,0,0,6,1,45,0,2100,1220,161,1382,6,238,195
1,0,4,1,1,27,4,0,0,31,1,45,0,16666,4052,2798,6850,6,206,39
1,0,4,1,1,44,7,0,0,51,2,44,0,10473,2750,4805,7555,6,241,39
1,4,4,1,1,224,4,0,0,228,2,52,0,90540,29367,16857,46225,6,240,39
1,4,2,0,4,10,0,0,0,10,1,52,0,1792,480,0,480,6,257,39
1,0,5,1,1,47,2,0,0,49,1,45,0,9723,2084,8355,10440,6,341,39
1,4,3,1,1,304,15,0,0,319,0,52,0,10791,771,7032,7804,6,377,39
1,0,3,1,4,8,1,0,0,9,1,45,0,9755,873,144,1017,6,226,195
1,0,4,1,1,101,4,0,0,105,2,45,0,50079,13246,2313,15560,6,235,39
1,0,4,1,1,5,0,0,0,5,1,45,0,45002,808,1677,2485,6,226,39
1,0,4,1,4,21,6,0,0,27,1,45,0,8182,1500,2320,3821,6,206,39
1,0,5,1,1,5,2,0,0,7,1,45,0,3321,2540,215,2755,6,241,39
1,4,2,0,1,25,1,0,0,26,1,52,0,5564,1673,321,1994,6,217,39
1,4,2,0,4,9,1,0,0,10,1,52,0,5564,1690,310,2000,6,217,39
1,4,4,1,1,27,4,0,0,31,1,52,0,5480,1676,798,2475,6,241,39
1,4,4,1,1,208,4,0,0,212,2,52,0,95562,46852,16637,63490,6,235,195
1,4,4,1,1,135,14,0,0,149,0,52,0,51752,23685,3918,27604,6,234,195
1,4,4,1,1,116,1,0,0,117,2,52,0,180005,22453,11861,34314,6,232,39
1,0,0,0,1,10,0,0,0,10,1,45,0,9964,3560,289,3849,6,236,39
1,4,4,1,3,3,1,0,0,4,1,52,0,6973,201,82,283,6,471,39
1,0,5,1,4,10,2,0,0,12,1,45,0,11625,5919,881,6800,6,232,195
1,0,2,0,4,1,1,0,0,2,1,45,0,7840,640,75,715,6,234,195
1,0,4,1,1,42,2,0,0,44,1,45,0,26836,8373,6097,14470,6,238,39
1,0,4,1,1,6,1,0,0,7,1,45,0,7041,1053,2393,3446,6,471,39
1,4,5,1,1,3,0,0,0,3,1,52,0,3562,1188,271,1459,6,241,195
1,4,4,1,1,61,4,0,0,65,2,52,0,16529,5669,3586,9256,6,164,39
1,0,1,1,4,11,4,0,0,15,1,45,0,5801,2302,916,3219,6,257,39
1,0,4,1,1,20,1,0,0,21,1,45,0,5562,1670,1067,2737,6,328,195
1,4,4,1,4,64,13,0,0,77,2,52,0,23141,8618,3277,11896,6,225,39
1,0,2,0,1,3,1,0,0,4,1,45,0,7044,444,1438,1882,6,142,195
1,4,4,1,1,238,19,0,0,257,2,52,0,51168,17696,16285,33982,6,206,238
1,4,4,1,1,2,0,0,0,2,1,52,0,12928,2128,3607,5735,6,206,39
1,4,4,1,1,118,11,0,0,129,2,52,0,22320,11029,4311,15340,6,285,195
1,4,5,1,1,10,0,0,0,10,1,52,0,5607,2071,675,2746,6,285,195
1,0,4,1,4,10,1,0,0,11,1,45,0,12562,3780,339,4119,6,241,195
1,4,5,1,1,15,3,0,0,18,1,52,0,4417,2366,574,2941,6,241,195
1,4,2,0,1,15,1,0,0,16,1,52,0,3882,1664,266,1931,6,241,195
1,4,4,1,1,165,4,0,0,169,0,52,0,63364,39267,9179,48447,6,240,195
1,0,2,0,1,17,1,0,0,18,1,45,0,0,1430,228,1658,6,285,39
1,4,4,1,1,53,1,0,0,54,0,52,0,64172,7832,15374,23207,6,214,195
1,4,3,1,1,21,1,0,0,22,1,52,0,17721,3296,984,4280,6,214,39
1,4,5,1,1,28,4,0,0,32,1,52,0,21139,874,6520,7395,6,214,195
1,4,5,1,1,28,4,0,0,32,1,52,0,21139,874,6520,7395,6,214,195
1,0,4,1,1,24,2,0,0,26,1,45,0,43044,13213,972,14185,6,241,39
1,4,5,1,1,15,2,0,0,17,1,52,0,3580,484,175,660,6,141,195
1,0,0,1,1,13,2,0,0,15,1,45,0,7418,1183,1122,2306,6,229,195
1,0,0,1,1,13,2,0,0,15,1,45,0,7418,1183,1122,2306,6,229,195
1,0,4,1,1,13,2,0,0,15,1,45,0,9298,1298,1321,2620,6,229,195
1,0,5,1,1,315,15,8,0,338,0,45,0,66792,36449,4827,41277,6,423,39
1,0,4,1,1,174,2,0,0,176,0,45,0,104681,76089,3152,79242,6,230,195
1,0,4,1,1,174,2,0,0,176,0,45,0,104681,76089,3152,79242,6,230,195
1,4,5,1,1,95,0,0,0,95,2,52,0,102190,33187,2173,35360,6,273,39
1,4,0,1,1,430,10,0,0,440,0,52,0,77339,21123,20582,41706,6,285,39
1,0,4,1,1,69,2,0,0,71,2,45,0,30590,10805,1337,12142,6,236,39
1,0,4,1,1,55,16,0,0,71,2,45,0,30321,9547,8885,18432,6,236,39
1,4,5,1,1,11,2,0,0,13,1,52,0,6612,2146,639,2785,6,471,195
1,0,1,1,1,30,20,0,0,50,2,45,0,15662,8806,1690,10497,6,285,39
0,3,5,1,3,9,24,0,0,33,1,54,31,1234,472,0,472,6,31,39
0,3,0,0,3,2,1,0,0,3,1,82,48,248,23,119,143,6,340,39
0,3,9,1,1,10,1,0,0,11,1,64,0,7184,87,594,682,6,217,238
0,6,9,1,1,50,3,0,0,53,2,64,42,2170,1285,52,1338,6,40,238
1,0,2,0,4,6,1,0,0,7,1,45,0,1659,562,0,562,6,257,39
1,0,4,1,1,46,1,0,0,47,1,45,0,48629,16261,19473,35734,6,236,39
1,0,5,1,1,15,2,0,0,17,1,45,0,6003,3118,800,3918,6,471,39
1,0,4,1,1,66,6,0,0,72,2,45,0,28289,3512,9179,12691,6,226,39
1,0,1,1,1,2,0,0,0,2,1,45,0,6528,2624,276,2900,6,423,39
1,4,4,1,1,110,2,0,0,112,2,45,0,170129,57819,13986,71805,6,238,238
1,0,4,1,1,110,2,0,0,112,2,45,0,170129,57819,13986,71805,6,238,238
1,0,4,1,1,110,2,0,0,112,2,45,0,170129,57819,13986,71805,6,238,238
1,0,5,1,1,23,4,0,0,27,1,45,0,7685,1130,1005,2135,6,391,39
1,0,4,1,1,38,6,0,0,44,1,45,0,32676,8941,2198,11139,6,176,39
1,0,4,1,1,19,7,0,0,26,1,45,0,14351,2400,953,3354,6,257,238
1,0,4,1,1,19,1,0,0,20,1,45,0,16367,5395,2788,8184,6,273,39
1,0,2,0,4,8,1,0,0,9,1,45,0,2000,1000,280,1280,6,391,39
1,0,4,1,1,16,3,0,0,19,1,45,0,3412,721,595,1316,6,141,238
1,0,4,1,1,138,9,0,0,147,2,44,0,40241,11038,2816,13855,6,236,238
1,0,4,1,1,9,1,0,0,10,1,45,0,16568,7937,1126,9063,6,236,39
1,0,4,1,1,138,9,0,0,147,2,44,0,40241,11038,2816,13855,6,236,39
1,0,4,1,1,138,9,0,0,147,2,44,0,40241,11038,2816,13855,6,236,39
1,0,5,1,1,7,2,0,0,9,1,45,0,3897,1464,706,2171,6,257,39
1,0,4,1,1,49,15,0,0,64,2,45,0,12947,1806,2266,4072,6,241,238
1,0,5,1,1,356,12,0,0,368,0,45,0,20719,7058,4237,11296,6,341,39
1,0,4,1,1,40,0,0,0,40,1,45,0,13728,2497,5350,7847,6,243,238
1,0,4,1,1,23,1,0,0,24,0,45,0,11927,2475,5902,8377,6,226,39
1,0,1,1,4,28,4,0,0,32,1,45,0,8563,2662,2038,4701,6,164,39
1,0,1,1,1,5,1,0,0,6,1,45,0,1983,694,395,1089,6,142,39
1,0,1,1,1,22,2,0,0,24,1,45,0,5624,3070,555,3625,6,251,39
1,0,4,1,1,27,2,0,0,29,1,45,0,29747,6340,4472,10812,6,236,39
1,0,5,1,1,10,1,0,0,11,1,45,0,1653,289,750,1040,6,255,39
1,0,4,1,1,39,5,0,0,44,1,45,0,33958,4276,3969,8245,6,140,39
1,0,5,1,1,8,1,0,0,9,1,45,0,5624,2147,959,3107,6,328,39
