공장구분,설립구분,입주형태,보유구분,등록구분,남자종업원,여자종업원,외국인남자종업원,외국인여자종업원,종업원합계,공장규모,용도지역,지목,용지면적,제조시설면적,부대시설면적,건축면적,지식산업센터명,대표업종,구
0,3,6,0,2,2,1,0,0,3,1,34,9,42,21,0,21,6,92,6
0,3,6,0,2,0,2,0,0,2,1,36,9,82,55,0,55,6,64,6
0,3,6,0,2,1,2,0,0,3,1,34,9,66,21,45,66,6,92,6
0,3,9,1,2,2,0,0,0,2,1,37,9,91,91,0,91,6,356,6
0,3,6,0,2,2,0,0,0,2,1,37,9,83,80,0,80,6,92,6
0,3,6,0,2,0,0,0,0,0,1,34,9,33,33,0,33,6,92,6
0,3,6,0,2,2,0,0,0,2,1,33,9,77,77,0,77,6,92,6
0,3,3,1,2,2,0,0,0,2,1,37,9,172,172,0,172,6,94,6
0,3,6,0,2,0,1,0,0,1,1,34,9,49,49,0,49,6,94,6
0,3,6,0,0,4,1,0,0,5,1,37,9,57,57,0,57,6,125,6
0,3,6,0,0,1,1,0,0,2,1,34,9,0,66,0,66,6,94,6
0,3,9,1,2,1,0,0,0,1,1,37,9,0,72,0,72,6,92,6
0,3,6,0,2,0,3,0,0,3,1,34,9,26,26,0,26,6,94,6
0,3,6,0,0,2,0,0,0,2,1,34,9,202,202,0,202,6,94,6
0,3,8,0,2,1,3,0,0,4,1,33,9,130,116,65,181,6,92,6
0,3,6,0,2,11,4,0,0,15,1,37,9,425,425,0,425,6,95,6
0,3,6,0,0,1,1,0,0,2,1,34,9,0,66,0,66,6,125,6
0,3,6,0,2,1,3,0,0,4,1,34,9,66,66,0,66,6,92,6
0,3,6,0,2,2,3,0,0,5,1,34,9,66,66,0,66,6,92,6
0,3,9,1,2,1,1,0,0,2,1,28,9,150,66,0,66,6,94,6
0,3,6,0,2,3,4,0,0,7,1,34,9,333,243,0,243,6,94,6
0,3,6,0,2,1,1,0,0,2,1,34,9,221,140,0,140,6,125,6
0,3,9,1,2,1,1,0,0,2,1,34,9,39,39,0,39,6,92,6
0,3,3,1,2,0,0,0,0,0,1,37,9,300,300,0,300,6,354,6
0,3,6,0,2,0,3,0,0,3,1,34,9,50,50,0,50,6,94,2
0,3,0,1,2,0,2,0,0,2,1,34,9,86,86,0,86,6,61,2
0,3,6,0,0,9,3,0,0,12,1,34,9,82,61,0,61,6,94,4
0,3,6,0,0,3,3,0,0,6,1,37,9,292,120,172,292,6,92,4
0,3,6,0,2,2,0,0,0,2,1,37,9,81,70,11,81,6,336,4
0,3,9,1,2,2,1,0,0,3,1,34,9,97,97,0,97,6,97,4
0,3,6,0,2,3,0,0,0,3,1,37,9,231,213,0,213,6,94,4
0,3,9,1,0,2,5,0,0,7,1,34,9,191,191,0,191,6,329,4
0,3,9,1,2,2,0,0,0,2,1,37,9,320,320,0,320,6,354,4
0,3,6,0,2,1,2,0,0,3,1,34,9,93,93,0,93,6,92,4
0,3,4,1,2,1,0,0,0,1,1,34,9,0,66,0,66,6,125,4
0,3,3,1,2,2,1,0,0,3,1,37,9,28,28,20,48,6,94,4
0,3,9,1,2,1,2,0,0,3,1,37,9,59,59,0,59,6,125,4
0,3,6,0,2,7,0,0,0,7,1,37,9,259,150,109,260,6,92,4
0,3,6,0,2,0,0,0,0,0,1,34,9,156,58,98,156,6,94,4
0,3,9,1,2,1,0,0,0,1,1,37,0,32,32,32,64,6,92,4
0,3,6,0,2,5,0,0,0,5,1,37,9,614,387,80,468,6,96,4
0,3,3,1,0,1,2,0,0,3,1,37,9,286,286,0,286,6,96,4
0,3,8,0,2,1,1,0,0,2,1,34,9,260,30,13,43,6,94,4
0,3,6,0,0,1,1,0,0,2,1,38,9,47,47,0,47,6,92,4
0,3,3,1,2,3,0,0,0,3,1,37,9,280,132,0,132,6,92,4
0,3,6,0,2,1,0,0,0,1,1,34,9,61,61,0,61,6,92,4
0,3,6,0,2,2,1,0,0,3,1,34,9,112,112,0,112,6,125,4
0,3,6,0,2,1,0,0,0,1,1,37,9,75,75,0,75,6,94,4
0,3,6,0,2,2,1,0,0,3,1,34,9,0,158,0,158,6,125,4
0,3,0,1,2,0,0,0,0,0,1,37,9,0,82,33,115,6,94,4
0,3,8,0,2,0,1,0,0,1,1,34,9,23,19,3,23,6,92,4
0,3,6,0,0,1,1,0,0,2,1,34,9,26,26,0,26,6,94,4
0,3,0,1,0,5,0,1,0,6,1,36,9,332,332,0,332,6,251,4
0,3,3,1,0,2,0,0,0,2,1,37,9,297,193,5,198,6,94,4
0,3,8,0,0,1,0,0,0,1,1,34,9,53,43,10,53,6,94,4
0,3,0,1,0,4,1,0,0,5,1,37,9,163,163,0,163,6,92,4
0,3,6,0,2,0,1,0,0,1,1,34,9,33,33,0,33,6,97,4
0,3,9,1,2,1,1,0,0,2,1,34,9,207,207,0,207,6,92,4
0,3,6,0,2,1,7,0,0,8,1,37,9,138,138,0,138,6,92,4
0,3,6,0,2,0,0,0,0,0,1,36,9,33,33,0,33,6,92,4
0,3,6,0,2,1,0,0,0,1,1,34,9,31,31,0,31,6,97,4
0,3,6,0,2,1,1,0,0,2,1,37,9,44,44,0,44,6,357,4
0,3,6,0,2,0,1,0,0,1,1,34,9,50,50,0,50,6,92,4
0,3,6,0,2,3,0,0,0,3,1,43,23,33,33,0,33,6,220,42
0,3,6,0,2,4,1,0,0,5,1,43,23,33,33,0,33,6,316,42
0,3,6,0,2,2,0,0,0,2,1,38,9,66,9,56,66,6,83,42
0,3,6,0,2,3,0,0,0,3,1,46,23,66,66,0,66,6,220,42
0,3,0,0,0,1,2,0,0,3,1,45,23,33,33,0,33,6,34,42
0,3,6,0,0,2,1,0,0,3,1,43,23,33,12,21,33,6,280,42
0,3,6,0,2,2,0,0,0,2,1,43,23,21,12,9,21,6,167,42
0,3,0,1,2,1,2,0,0,3,1,48,9,52,40,9,49,6,92,42
0,3,6,0,2,1,0,0,0,1,1,56,9,0,127,0,127,6,125,42
0,3,0,0,0,4,6,0,0,10,1,55,23,0,165,0,165,6,36,42
0,3,6,0,2,1,1,0,0,2,1,59,9,40,40,0,40,6,92,42
0,3,6,0,2,2,1,0,0,3,1,43,23,66,33,33,66,6,140,42
0,3,6,0,2,2,7,0,5,14,1,44,23,0,33,0,33,6,55,42
0,3,6,0,2,2,0,0,0,2,1,43,23,33,33,0,33,6,245,42
0,3,6,0,2,2,1,0,0,3,1,43,23,66,56,10,66,6,319,42
0,3,0,0,2,2,0,0,0,2,1,45,23,33,33,0,33,6,253,42
0,5,0,0,2,2,0,0,0,2,1,44,23,30,30,0,30,6,160,42
0,3,2,0,0,0,0,0,0,0,1,43,23,66,66,0,66,6,124,42
0,3,4,1,2,1,4,0,0,5,1,37,9,116,116,0,116,6,125,42
0,3,8,0,2,3,0,0,0,3,1,38,23,38,28,10,38,6,233,42
0,3,2,0,0,2,1,0,0,3,1,43,23,0,66,0,66,6,258,42
0,3,9,1,2,3,0,0,0,3,1,59,9,48,28,0,28,6,125,42
0,3,9,1,2,3,2,0,0,5,1,55,23,165,165,0,165,6,28,42
0,3,6,0,2,0,1,0,0,1,1,59,9,49,33,16,49,6,92,42
0,3,6,0,2,1,1,0,0,2,1,43,9,85,85,54,139,6,52,42
0,3,6,0,2,4,0,0,0,4,1,46,23,55,50,5,55,6,145,42
0,3,2,0,2,2,0,0,0,2,1,38,23,89,50,39,89,6,238,42
0,3,0,1,0,5,6,0,0,11,1,43,9,725,485,0,485,6,10,46
0,3,9,1,2,2,1,0,0,3,1,56,9,141,64,0,64,6,110,46
0,3,6,0,0,3,4,0,0,7,1,46,9,184,184,0,184,6,336,46
0,3,9,1,3,2,2,0,0,4,1,21,3,2105,190,0,190,6,32,46
0,3,6,0,2,5,1,0,0,6,1,56,9,369,121,0,121,6,288,46
0,3,0,1,2,6,5,0,0,11,1,51,9,361,100,260,361,6,7,46
0,3,0,1,0,3,6,0,0,9,1,55,9,1381,476,251,727,6,32,46
0,3,9,1,2,1,1,0,0,2,1,38,9,88,55,33,88,6,52,46
0,3,6,0,2,3,1,0,0,4,1,51,9,99,75,24,99,6,227,108
0,3,6,0,2,3,1,0,0,4,1,51,9,41,41,0,41,6,336,108
0,3,9,1,0,5,2,0,0,7,1,28,9,379,370,122,492,6,94,108
0,3,9,1,2,4,1,0,0,5,1,38,0,749,447,0,447,6,96,83
0,3,6,0,2,2,1,0,0,3,1,39,0,50,30,20,50,6,94,83
0,5,5,1,2,2,0,0,0,2,1,41,15,232,138,0,138,6,60,83
0,3,9,1,2,3,0,0,0,3,1,29,9,0,20,10,30,6,207,61
0,3,9,1,0,1,2,0,0,3,1,51,9,307,83,64,147,6,59,61
0,3,6,0,2,2,2,0,0,4,1,28,9,0,116,0,116,6,92,61
0,3,0,1,2,0,3,0,0,3,1,51,22,62,50,12,62,6,52,61
0,3,6,0,0,0,7,0,0,7,1,33,9,136,102,33,136,6,64,61
0,3,0,1,0,1,0,0,0,1,1,28,9,125,143,25,169,6,181,61
0,3,0,0,2,2,1,0,0,3,1,28,9,0,24,24,48,6,336,61
0,5,0,1,2,2,5,0,0,7,1,56,9,278,164,150,315,6,115,9
0,3,4,1,2,3,4,0,0,7,1,43,9,185,84,101,185,6,336,9
0,3,2,0,2,4,0,0,0,4,1,57,9,295,81,59,141,6,273,9
0,3,0,1,2,0,5,0,0,5,1,56,9,618,99,0,99,6,10,9
0,3,6,0,2,2,1,0,0,3,1,38,9,237,39,39,79,6,218,9
0,3,0,1,0,2,0,0,0,2,1,56,9,216,113,102,216,6,215,9
0,3,6,0,0,4,0,0,0,4,1,56,9,435,162,49,211,6,129,9
0,3,8,0,2,9,0,0,0,9,1,59,9,187,187,0,187,6,218,9
0,3,0,0,0,2,0,0,0,2,1,56,9,172,172,0,172,6,218,9
0,3,0,1,2,5,0,0,0,5,1,57,9,493,67,0,67,6,280,9
0,3,6,0,0,1,5,0,0,6,1,58,9,404,232,0,232,6,63,9
0,3,6,0,2,1,3,0,0,4,1,58,9,207,207,0,207,6,63,9
0,3,6,0,0,2,2,0,0,4,1,43,9,302,136,166,302,6,336,9
0,3,4,1,0,1,4,0,0,5,1,58,9,130,64,72,136,6,63,9
0,3,4,1,2,1,1,0,0,2,1,43,9,177,22,75,97,6,336,9
0,3,3,1,2,4,2,0,0,6,1,43,9,691,330,161,491,6,254,9
0,3,0,1,2,2,2,0,0,4,1,43,9,167,188,92,280,6,336,9
0,3,0,0,0,2,0,0,0,2,1,56,9,0,136,0,136,6,221,9
0,3,6,0,0,6,1,0,0,7,1,55,9,380,145,20,165,6,336,3
0,3,0,0,2,1,0,0,0,1,1,39,15,49,49,0,49,6,282,3
0,3,0,0,0,2,0,0,0,2,1,51,0,1094,198,80,278,6,300,3
0,5,0,0,2,2,0,0,0,2,1,51,9,363,73,0,73,6,180,3
