공장구분,설립구분,입주형태,보유구분,등록구분,남자종업원,여자종업원,외국인남자종업원,외국인여자종업원,종업원합계,공장규모,용도지역,지목,용지면적,제조시설면적,부대시설면적,건축면적,지식산업센터명,대표업종,구
0,3,2,0,2,1,0,0,0,1,1,36,12,43,16,27,43,6,25,12
0,3,6,0,0,2,1,0,0,3,1,59,12,0,10,0,10,6,228,12
0,3,6,0,2,2,1,0,0,3,1,70,12,497,144,0,144,6,170,12
0,3,2,0,2,2,0,0,0,2,1,44,0,165,99,66,165,6,218,12
0,3,8,0,0,0,3,0,0,3,1,36,0,0,163,0,163,6,131,12
0,3,0,0,2,2,3,0,0,5,1,70,12,194,88,106,194,6,223,12
0,3,2,0,0,1,0,0,0,1,1,36,0,53,35,18,53,6,124,12
1,4,4,1,0,135,28,0,0,163,2,35,0,3804,705,1530,2235,6,347,12
1,4,2,0,0,3,22,0,0,25,1,35,0,3049,760,646,1406,6,54,12
1,4,5,1,3,9,19,0,0,28,1,36,0,6590,966,2324,3291,6,124,12
1,4,5,1,0,5,14,0,0,19,1,36,0,0,347,558,906,6,54,12
1,4,2,0,3,2,1,0,0,3,1,36,0,0,2528,403,2931,6,61,12
1,4,1,1,0,13,3,0,0,16,1,36,0,7603,435,360,795,6,342,12
1,4,2,0,3,4,1,0,0,5,1,36,0,0,221,0,221,6,293,12
1,4,2,0,3,2,0,0,0,2,1,36,0,0,363,0,363,6,35,12
1,4,9,1,0,4,0,0,0,4,1,36,0,4000,745,90,835,6,342,12
1,4,2,0,3,2,1,0,0,3,1,36,0,100,80,20,100,6,113,12
1,4,0,0,3,7,3,2,1,13,1,36,0,188,76,111,188,6,116,12
1,4,2,0,3,5,0,0,0,5,1,36,0,0,99,0,99,6,236,12
1,4,2,0,3,0,0,0,0,0,1,36,0,0,100,88,188,6,251,12
1,4,0,1,0,7,1,0,0,8,1,36,0,1058,608,449,1058,6,187,12
1,4,2,0,3,0,0,0,0,0,1,36,0,0,343,33,376,6,72,12
1,4,1,1,3,6,6,0,0,12,1,36,0,5335,363,1053,1416,6,1,12
1,4,0,0,0,6,0,0,0,6,1,36,0,4958,1902,179,2082,6,45,12
1,4,0,0,0,3,1,1,0,5,1,36,0,189,45,144,189,6,176,12
1,4,0,1,0,9,15,0,0,24,1,38,0,3306,1106,654,1760,6,7,12
1,4,0,1,0,5,1,0,0,6,1,36,0,390,300,90,390,6,80,12
1,4,2,0,3,2,3,0,0,5,1,36,0,300,180,120,300,6,5,12
1,4,0,0,0,4,1,0,0,5,1,36,0,300,300,0,300,6,96,12
1,4,2,0,0,2,1,0,0,3,1,36,0,495,162,114,276,6,30,12
1,4,2,0,2,4,0,0,0,4,1,36,0,225,150,300,450,6,116,12
1,4,2,0,3,5,1,0,0,6,1,36,0,897,825,72,897,6,144,12
1,4,2,0,0,3,2,0,0,5,1,42,0,0,300,0,300,6,24,12
1,4,0,0,3,4,0,0,0,4,1,36,0,330,297,33,330,6,324,12
1,4,2,0,2,14,1,0,0,15,1,37,0,743,512,231,743,6,325,12
1,4,2,0,3,2,1,0,0,3,1,36,0,0,34,198,233,6,12,12
1,4,2,0,0,3,5,0,0,8,1,36,0,0,211,218,429,6,11,12
1,4,9,1,3,3,0,0,0,3,1,36,0,1719,429,477,907,6,79,12
1,4,4,1,3,11,1,0,0,12,1,35,0,2426,1182,227,1409,6,289,12
1,4,0,1,0,3,1,0,0,4,1,36,0,5950,1111,40,1151,6,187,12
1,4,2,0,3,1,0,0,0,1,1,42,0,231,72,0,72,6,187,12
1,4,0,0,0,4,12,0,0,16,1,36,0,0,231,33,264,6,59,12
1,4,2,0,0,6,2,0,0,8,1,36,0,630,630,0,630,6,209,12
1,4,2,0,3,4,1,0,0,5,1,42,0,202,180,224,405,6,80,12
1,4,2,0,3,2,1,0,0,3,1,36,0,0,132,0,132,6,176,12
